dataset_type,size,fastest_algorithm,fastest_time_ms,runner_up_algorithm,notes
partially_sorted,1000,Merge Sort,1.5095,Insertion Sort,"For Partially Sorted data at size 1,000, Merge Sort wins at 1.51 ms (66.4% faster than Insertion Sort)."
partially_sorted,5000,Merge Sort,9.4968,Insertion Sort,"For Partially Sorted data at size 5,000, Merge Sort wins at 9.50 ms (91.6% faster than Insertion Sort)."
partially_sorted,10000,Merge Sort,20.5848,Insertion Sort,"For Partially Sorted data at size 10,000, Merge Sort wins at 20.58 ms (95.6% faster than Insertion Sort)."
partially_sorted,50000,Merge Sort,119.5239,Insertion Sort,"For Partially Sorted data at size 50,000, Merge Sort wins at 119.52 ms (99.0% faster than Insertion Sort)."
random_unsorted,1000,Merge Sort,1.5836,Selection Sort,"For Random Unsorted data at size 1,000, Merge Sort wins at 1.58 ms (90.8% faster than Selection Sort)."
random_unsorted,5000,Merge Sort,9.8442,Selection Sort,"For Random Unsorted data at size 5,000, Merge Sort wins at 9.84 ms (97.7% faster than Selection Sort)."
random_unsorted,10000,Merge Sort,21.2856,Selection Sort,"For Random Unsorted data at size 10,000, Merge Sort wins at 21.29 ms (98.8% faster than Selection Sort)."
random_unsorted,50000,Merge Sort,124.1436,Selection Sort,"For Random Unsorted data at size 50,000, Merge Sort wins at 124.14 ms (99.7% faster than Selection Sort)."
reverse_sorted,1000,Merge Sort,1.3224,Selection Sort,"For Reverse Sorted data at size 1,000, Merge Sort wins at 1.32 ms (92.9% faster than Selection Sort)."
reverse_sorted,5000,Merge Sort,7.9295,Selection Sort,"For Reverse Sorted data at size 5,000, Merge Sort wins at 7.93 ms (98.3% faster than Selection Sort)."
reverse_sorted,10000,Merge Sort,16.936,Selection Sort,"For Reverse Sorted data at size 10,000, Merge Sort wins at 16.94 ms (99.1% faster than Selection Sort)."
reverse_sorted,50000,Merge Sort,97.6369,Selection Sort,"For Reverse Sorted data at size 50,000, Merge Sort wins at 97.64 ms (99.8% faster than Selection Sort)."
sorted,1000,Bubble Sort,0.0459,Insertion Sort,"For Sorted data at size 1,000, Bubble Sort wins at 0.05 ms (48.8% faster than Insertion Sort)."
sorted,5000,Bubble Sort,0.2498,Insertion Sort,"For Sorted data at size 5,000, Bubble Sort wins at 0.25 ms (51.9% faster than Insertion Sort)."
sorted,10000,Bubble Sort,0.5019,Insertion Sort,"For Sorted data at size 10,000, Bubble Sort wins at 0.50 ms (47.4% faster than Insertion Sort)."
sorted,50000,Bubble Sort,2.5658,Insertion Sort,"For Sorted data at size 50,000, Bubble Sort wins at 2.57 ms (49.6% faster than Insertion Sort)."
