operation_group,structure,operation,scenario,smallest_size,largest_size,smallest_time_ms,largest_time_ms,growth_factor,notes
hash_collision,Hash Table,collision_delete_sample,forced_collision,100,10000,0.079959,0.25625,3.2048,"Hash Table.collision_delete_sample (forced_collision) grew 3.20x from n=100 to n=10,000."
hash_collision,Hash Table,collision_insert_bulk,forced_collision,100,10000,0.100917,162.80025,1613.2094,"Hash Table.collision_insert_bulk (forced_collision) grew 1613.21x from n=100 to n=10,000."
hash_collision,Hash Table,collision_search_hits,forced_collision,100,10000,0.428663,7.745951,18.07,"Hash Table.collision_search_hits (forced_collision) grew 18.07x from n=100 to n=10,000."
hash_core,Hash Table,delete_sample,normal,100,10000,0.055834,0.151458,2.7126,"Hash Table.delete_sample (normal) grew 2.71x from n=100 to n=10,000."
hash_core,Hash Table,insert_bulk,normal,100,10000,0.141166,17.80325,126.1157,"Hash Table.insert_bulk (normal) grew 126.12x from n=100 to n=10,000."
hash_core,Hash Table,search_hits,normal,100,10000,0.231693,0.264445,1.1414,"Hash Table.search_hits (normal) grew 1.14x from n=100 to n=10,000."
hash_core,Hash Table,search_misses,normal,100,10000,0.361676,0.366272,1.0127,"Hash Table.search_misses (normal) grew 1.01x from n=100 to n=10,000."
priority_queue_core,Priority Queue,delete_sample,max,100,10000,0.124792,30.279875,242.6428,"Priority Queue.delete_sample (max) grew 242.64x from n=100 to n=10,000."
priority_queue_core,Priority Queue,extract_top_drain,max,100,10000,0.144792,37.001625,255.5502,"Priority Queue.extract_top_drain (max) grew 255.55x from n=100 to n=10,000."
priority_queue_core,Priority Queue,insert_bulk,max,100,10000,0.037458,4.388792,117.1657,"Priority Queue.insert_bulk (max) grew 117.17x from n=100 to n=10,000."
priority_queue_core,Priority Queue,peek,max,100,10000,3.4e-05,3.4e-05,1.0,"Priority Queue.peek (max) grew 1.00x from n=100 to n=10,000."
priority_queue_core,Priority Queue,search_hits,max,100,10000,0.413628,42.661875,103.1407,"Priority Queue.search_hits (max) grew 103.14x from n=100 to n=10,000."
priority_queue_core,Priority Queue,search_misses,max,100,10000,0.739777,70.522917,95.33,"Priority Queue.search_misses (max) grew 95.33x from n=100 to n=10,000."
priority_queue_core,Priority Queue,delete_sample,min,100,10000,0.126583,31.6645,250.1481,"Priority Queue.delete_sample (min) grew 250.15x from n=100 to n=10,000."
priority_queue_core,Priority Queue,extract_top_drain,min,100,10000,0.158833,38.120833,240.0057,"Priority Queue.extract_top_drain (min) grew 240.01x from n=100 to n=10,000."
priority_queue_core,Priority Queue,insert_bulk,min,100,10000,0.036583,4.507125,123.2027,"Priority Queue.insert_bulk (min) grew 123.20x from n=100 to n=10,000."
priority_queue_core,Priority Queue,peek,min,100,10000,3.4e-05,3.4e-05,1.0,"Priority Queue.peek (min) grew 1.00x from n=100 to n=10,000."
priority_queue_core,Priority Queue,search_hits,min,100,10000,0.411748,41.694258,101.2616,"Priority Queue.search_hits (min) grew 101.26x from n=100 to n=10,000."
priority_queue_core,Priority Queue,search_misses,min,100,10000,0.740648,70.864433,95.679,"Priority Queue.search_misses (min) grew 95.68x from n=100 to n=10,000."
search_comparison,Hash Table,search,hits,100,10000,0.243844,0.263154,1.0792,"Hash Table.search (hits) grew 1.08x from n=100 to n=10,000."
search_comparison,Linear Search,search,hits,100,10000,0.425406,37.0716,87.144,"Linear Search.search (hits) grew 87.14x from n=100 to n=10,000."
search_comparison,Hash Table,search,misses,100,10000,0.37476,0.361206,0.9638,"Hash Table.search (misses) grew 0.96x from n=100 to n=10,000."
search_comparison,Linear Search,search,misses,100,10000,0.737135,70.87,96.1425,"Linear Search.search (misses) grew 96.14x from n=100 to n=10,000."
search_comparison,Hash Table,search,mixed,100,10000,0.299608,0.320786,1.0707,"Hash Table.search (mixed) grew 1.07x from n=100 to n=10,000."
search_comparison,Linear Search,search,mixed,100,10000,0.604051,55.307767,91.5614,"Linear Search.search (mixed) grew 91.56x from n=100 to n=10,000."
