operation_group,size,fastest_structure,fastest_operation,fastest_time_ms,runner_up,notes
common_build,1000,Stack,push,0.048375,Deque.addRear,"For common_build at size 1,000, Stack.push wins at 0.0484 ms (75.4% faster than Deque.addRear)."
common_build,5000,Stack,push,0.241042,LinkedList.insert_rear,"For common_build at size 5,000, Stack.push wins at 0.2410 ms (81.0% faster than LinkedList.insert_rear)."
common_build,10000,Stack,push,0.472125,LinkedList.insert_rear,"For common_build at size 10,000, Stack.push wins at 0.4721 ms (81.9% faster than LinkedList.insert_rear)."
common_build,50000,Stack,push,2.361959,LinkedList.insert_rear,"For common_build at size 50,000, Stack.push wins at 2.3620 ms (82.5% faster than LinkedList.insert_rear)."
common_drain,1000,Stack,pop,0.108917,Queue.dequeue,"For common_drain at size 1,000, Stack.pop wins at 0.1089 ms (3.9% faster than Queue.dequeue)."
common_drain,5000,Deque,removeFront,0.559417,Stack.pop,"For common_drain at size 5,000, Deque.removeFront wins at 0.5594 ms (0.1% faster than Stack.pop)."
common_drain,10000,Stack,pop,1.089833,Queue.dequeue,"For common_drain at size 10,000, Stack.pop wins at 1.0898 ms (1.0% faster than Queue.dequeue)."
common_drain,50000,Queue,dequeue,5.445875,Deque.removeFront,"For common_drain at size 50,000, Queue.dequeue wins at 5.4459 ms (2.3% faster than Deque.removeFront)."
deque_ends,1000,Deque,addFront_build,0.032458,Deque.removeFront_drain,"For deque_ends at size 1,000, Deque.addFront_build wins at 0.0325 ms (60.0% faster than Deque.removeFront_drain)."
deque_ends,5000,Deque,addFront_build,0.153958,Deque.removeFront_drain,"For deque_ends at size 5,000, Deque.addFront_build wins at 0.1540 ms (62.8% faster than Deque.removeFront_drain)."
deque_ends,10000,Deque,addFront_build,0.30125,Deque.removeFront_drain,"For deque_ends at size 10,000, Deque.addFront_build wins at 0.3013 ms (64.0% faster than Deque.removeFront_drain)."
deque_ends,50000,Deque,addFront_build,1.553791,Deque.removeFront_drain,"For deque_ends at size 50,000, Deque.addFront_build wins at 1.5538 ms (63.1% faster than Deque.removeFront_drain)."
linked_list_delete,1000,LinkedList,delete_head_single,0.000292,LinkedList.delete_middle_single,"For linked_list_delete at size 1,000, LinkedList.delete_head_single wins at 0.0003 ms (97.7% faster than LinkedList.delete_middle_single)."
linked_list_delete,5000,LinkedList,delete_head_single,0.000375,LinkedList.delete_middle_single,"For linked_list_delete at size 5,000, LinkedList.delete_head_single wins at 0.0004 ms (99.4% faster than LinkedList.delete_middle_single)."
linked_list_delete,10000,LinkedList,delete_head_single,0.000334,LinkedList.delete_middle_single,"For linked_list_delete at size 10,000, LinkedList.delete_head_single wins at 0.0003 ms (99.7% faster than LinkedList.delete_middle_single)."
linked_list_delete,50000,LinkedList,delete_head_single,0.000666,LinkedList.delete_middle_single,"For linked_list_delete at size 50,000, LinkedList.delete_head_single wins at 0.0007 ms (99.9% faster than LinkedList.delete_middle_single)."
linked_list_display,1000,LinkedList,display_forward,0.026518,LinkedList.display_reverse,"For linked_list_display at size 1,000, LinkedList.display_forward wins at 0.0265 ms (0.9% faster than LinkedList.display_reverse)."
linked_list_display,5000,LinkedList,display_forward,0.127747,LinkedList.display_reverse,"For linked_list_display at size 5,000, LinkedList.display_forward wins at 0.1277 ms (0.5% faster than LinkedList.display_reverse)."
linked_list_display,10000,LinkedList,display_reverse,0.249468,LinkedList.display_forward,"For linked_list_display at size 10,000, LinkedList.display_reverse wins at 0.2495 ms (0.4% faster than LinkedList.display_forward)."
linked_list_display,50000,LinkedList,display_reverse,1.223849,LinkedList.display_forward,"For linked_list_display at size 50,000, LinkedList.display_reverse wins at 1.2238 ms (0.1% faster than LinkedList.display_forward)."
linked_list_search,1000,LinkedList,search_middle,0.012505,LinkedList.search_missing,"For linked_list_search at size 1,000, LinkedList.search_middle wins at 0.0125 ms (48.5% faster than LinkedList.search_missing)."
linked_list_search,5000,LinkedList,search_middle,0.061592,LinkedList.search_missing,"For linked_list_search at size 5,000, LinkedList.search_middle wins at 0.0616 ms (48.9% faster than LinkedList.search_missing)."
linked_list_search,10000,LinkedList,search_middle,0.123525,LinkedList.search_missing,"For linked_list_search at size 10,000, LinkedList.search_middle wins at 0.1235 ms (48.2% faster than LinkedList.search_missing)."
linked_list_search,50000,LinkedList,search_middle,0.618573,LinkedList.search_missing,"For linked_list_search at size 50,000, LinkedList.search_middle wins at 0.6186 ms (49.0% faster than LinkedList.search_missing)."
peek_front,1000,Deque,peekRear,6.8e-05,Deque.peekFront,"For peek_front at size 1,000, Deque.peekRear wins at 0.0001 ms (4.2% faster than Deque.peekFront)."
peek_front,5000,Deque,peekRear,6.8e-05,Stack.peek,"For peek_front at size 5,000, Deque.peekRear wins at 0.0001 ms (2.9% faster than Stack.peek)."
peek_front,10000,Deque,peekRear,6.7e-05,Stack.peek,"For peek_front at size 10,000, Deque.peekRear wins at 0.0001 ms (5.6% faster than Stack.peek)."
peek_front,50000,Deque,peekRear,6.7e-05,Stack.peek,"For peek_front at size 50,000, Deque.peekRear wins at 0.0001 ms (4.3% faster than Stack.peek)."
