segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
demo-001,0,1,CADC0872,1,101,102,-0.10,0.10,0.32,-0.40,-0.20,2,2,1,3,4,0.05,0.08,101,102,0.00099,0.00098
demo-002,0,1,CADC0873,1,102,103,-0.08,0.11,0.33,-0.38,-0.18,2,2,1,3,4,0.05,0.08,102,103,0.00108,0.00107
demo-003,0,1,CADC0874,1,103,104,-0.06,0.12,0.35,-0.36,-0.16,2,2,1,3,4,0.06,0.09,103,104,0.00117,0.00115
demo-004,0,1,CADC0884,1,104,105,-0.04,0.13,0.36,-0.34,-0.14,3,2,1,3,4,0.06,0.09,104,105,0.00125,0.00124
demo-005,0,1,CADC0886,1,105,106,-0.02,0.14,0.37,-0.32,-0.12,3,2,1,4,5,0.07,0.10,105,106,0.00133,0.00132
demo-006,0,1,CADC0888,1,106,107,0.00,0.15,0.39,-0.30,-0.10,3,2,1,4,5,0.07,0.10,106,107,0.00142,0.00140
demo-007,0,1,CADC0890,1,107,108,0.02,0.16,0.40,-0.28,-0.08,3,3,2,4,5,0.08,0.11,107,108,0.00150,0.00148
demo-008,0,1,CADC0892,1,108,109,0.04,0.17,0.41,-0.26,-0.06,3,3,2,4,5,0.08,0.11,108,109,0.00157,0.00156
demo-009,0,1,CADC0894,1,109,110,0.06,0.18,0.42,-0.24,-0.04,4,3,2,5,6,0.09,0.12,109,110,0.00165,0.00164
demo-010,0,1,CADC0872,1,110,111,0.08,0.19,0.44,-0.22,-0.02,4,3,2,5,6,0.09,0.12,110,111,0.00173,0.00171
demo-011,0,1,CADC0873,1,111,112,0.10,0.20,0.45,-0.20,0.00,4,3,2,5,6,0.10,0.13,111,112,0.00180,0.00179
demo-012,0,1,CADC0874,1,112,113,0.12,0.21,0.46,-0.18,0.02,4,3,2,5,6,0.10,0.13,112,113,0.00188,0.00186
demo-013,0,1,CADC0884,1,113,114,0.14,0.22,0.47,-0.16,0.04,4,4,2,5,6,0.11,0.14,113,114,0.00195,0.00193
demo-014,0,1,CADC0886,1,114,115,0.16,0.23,0.48,-0.14,0.06,4,4,2,5,7,0.11,0.14,114,115,0.00202,0.00200
demo-015,0,1,CADC0888,1,115,116,0.18,0.24,0.49,-0.12,0.08,4,4,2,6,7,0.12,0.15,115,116,0.00209,0.00207
demo-016,0,1,CADC0890,1,116,117,0.20,0.25,0.50,-0.10,0.10,5,4,2,6,7,0.12,0.15,116,117,0.00216,0.00214
demo-017,0,1,CADC0892,1,117,118,0.22,0.26,0.51,-0.08,0.12,5,4,3,6,7,0.13,0.16,117,118,0.00222,0.00220
demo-018,0,1,CADC0894,1,118,119,0.24,0.27,0.52,-0.06,0.14,5,4,3,6,7,0.13,0.16,118,119,0.00229,0.00227
demo-019,0,1,CADC0872,1,119,120,0.26,0.28,0.53,-0.04,0.16,5,4,3,6,8,0.14,0.17,119,120,0.00235,0.00233
demo-020,0,1,CADC0873,1,120,121,0.28,0.29,0.54,-0.02,0.18,5,5,3,6,8,0.14,0.17,120,121,0.00242,0.00240
demo-021,1,1,CADC0874,1,301,302,2.10,2.20,1.48,2.40,1.70,12,10,8,14,18,1.10,1.80,901,604,0.00731,0.00728
demo-022,1,1,CADC0884,1,302,303,2.12,2.22,1.49,2.42,1.72,12,10,8,14,18,1.11,1.81,904,606,0.00735,0.00733
demo-023,1,1,CADC0886,1,303,304,2.14,2.24,1.50,2.44,1.74,12,10,8,14,18,1.12,1.82,907,608,0.00739,0.00737
demo-024,1,1,CADC0888,1,304,305,2.16,2.26,1.50,2.46,1.76,12,10,8,15,19,1.13,1.83,910,610,0.00743,0.00741
demo-025,1,1,CADC0890,1,305,306,2.18,2.28,1.51,2.48,1.78,13,11,8,15,19,1.14,1.84,913,612,0.00748,0.00745
demo-026,1,1,CADC0892,1,306,307,2.20,2.30,1.52,2.50,1.80,13,11,9,15,19,1.15,1.85,916,614,0.00752,0.00749
demo-027,1,1,CADC0894,1,307,308,2.22,2.32,1.52,2.52,1.82,13,11,9,15,19,1.16,1.86,919,616,0.00756,0.00753
demo-028,1,1,CADC0872,1,308,309,2.24,2.34,1.53,2.54,1.84,13,11,9,15,20,1.17,1.87,922,618,0.00760,0.00757
demo-029,1,1,CADC0873,1,309,310,2.26,2.36,1.54,2.56,1.86,13,11,9,16,20,1.18,1.88,925,620,0.00764,0.00761
demo-030,1,1,CADC0874,1,310,311,2.28,2.38,1.54,2.58,1.88,14,12,9,16,20,1.19,1.89,928,622,0.00768,0.00765
demo-031,1,1,CADC0884,1,311,312,2.30,2.40,1.55,2.60,1.90,14,12,10,16,20,1.20,1.90,931,624,0.00772,0.00769
demo-032,1,1,CADC0886,1,312,313,2.32,2.42,1.56,2.62,1.92,14,12,10,16,21,1.21,1.91,934,626,0.00776,0.00773
demo-033,1,1,CADC0888,1,313,314,2.34,2.44,1.56,2.64,1.94,14,12,10,17,21,1.22,1.92,937,628,0.00780,0.00777
demo-034,1,1,CADC0890,1,314,315,2.36,2.46,1.57,2.66,1.96,14,12,10,17,21,1.23,1.93,940,630,0.00783,0.00781
demo-035,1,1,CADC0892,1,315,316,2.38,2.48,1.58,2.68,1.98,15,13,10,17,21,1.24,1.94,943,632,0.00787,0.00785
demo-036,1,1,CADC0894,1,316,317,2.40,2.50,1.58,2.70,2.00,15,13,11,17,22,1.25,1.95,946,634,0.00791,0.00789
demo-037,1,1,CADC0872,1,317,318,2.42,2.52,1.59,2.72,2.02,15,13,11,18,22,1.26,1.96,949,636,0.00795,0.00792
demo-038,1,1,CADC0873,1,318,319,2.44,2.54,1.59,2.74,2.04,15,13,11,18,22,1.27,1.97,952,638,0.00799,0.00796
demo-039,1,1,CADC0874,1,319,320,2.46,2.56,1.60,2.76,2.06,15,13,11,18,22,1.28,1.98,955,640,0.00803,0.00800
demo-040,1,1,CADC0884,1,320,321,2.48,2.58,1.61,2.78,2.08,15,13,11,18,23,1.29,1.99,958,642,0.00806,0.00804
demo-041,0,0,CADC0888,1,151.5,153,-0.15,0.15,0.48,-0.6,-0.3,3,3,1.5,4.5,6,0.075,0.12,151.5,153,0.001485,0.00147
demo-042,0,0,CADC0888,1,111,112,0.11,0.20,0.45,-0.19,0.01,4,3,2,5,6,0.10,0.13,111,112,0.00180,0.00179
demo-043,0,0,CADC0890,1,116,117,0.21,0.25,0.50,-0.09,0.11,5,4,2,6,7,0.12,0.15,116,117,0.00216,0.00214
demo-044,0,0,CADC0892,1,121,122,0.31,0.30,0.55,0.01,0.21,5,5,3,7,8,0.15,0.18,121,122,0.00248,0.00246
demo-045,0,0,CADC0894,1,130.5,131.5,0.31,0.4145,0.5479,0.07,0.18,4.695,4,2.66,5.835,7.29,0.205,0.302,192.4,162.65,0.00233855,0.00232105
demo-046,1,0,CADC0872,1,710.5,711.5,6.69,6.78,3.764,8.19,5.69,33.55,28.65,24.7,38.75,49.05,3.395,5.435,2567.5,1646,0.019595,0.0195485
demo-047,1,0,CADC0873,1,309,310,2.27,2.37,1.54,2.57,1.87,13,11,9,16,20,1.18,1.88,925,620,0.00764,0.00761
demo-048,1,0,CADC0874,1,314,315,2.37,2.47,1.57,2.67,1.97,14,12,10,17,21,1.23,1.93,940,630,0.00783,0.00781
demo-049,1,0,CADC0884,1,319,320,2.47,2.57,1.60,2.77,2.07,15,13,11,18,22,1.28,1.98,955,640,0.00806,0.00803
demo-050,1,0,CADC0886,1,160.5,161.5,0.64,0.74375,0.71425,0.49,0.465,6.1875,5.275,3.8,7.5375,9.45,0.37,0.5675,315.25,239.375,0.003231125,0.003212125
